Position;miRNA ID;Plate
H01;hsa-miR-23a;Plate 1
H02;hsa-miR-208a;Plate 1
H03;hsa-miR-485-3p;Plate 1
H04;hsa-miR-487a;Plate 1
H05;hsa-miR-19b;Plate 1
H06;hsa-miR-488;Plate 1
H07;hsa-miR-449a;Plate 1
H08;hsa-miR-103a;Plate 1
H09;hsa-miR-649;Plate 1
H10;hsa-miR-96;Plate 1
H11;hsa-miR-203;Plate 1
H12;hsa-miR-142-3p;Plate 1
H13;hsa-miR-639;Plate 1
H14;hsa-miR-551a;Plate 1
H15;hsa-miR-769-5p;Plate 1
H16;hsa-miR-562;Plate 1
H17;hsa-miR-657;Plate 1
H18;hsa-miR-624*;Plate 1
H19;hsa-miR-610;Plate 1
H20;hsa-miR-127-3p;Plate 1
H21;hsa-miR-134;Plate 1
H22;hsa-miR-412;Plate 1
H23;hsa-let-7f;Plate 1
H24;hsa-miR-566;Plate 1
I01;hsa-miR-492;Plate 1
I02;hsa-miR-122;Plate 1
I03;hsa-miR-518b;Plate 1
I04;hsa-miR-585;Plate 1
I05;hsa-miR-34a;Plate 1
I06;hsa-miR-502-5p;Plate 1
I07;hsa-miR-452;Plate 1
I08;hsa-miR-508-3p;Plate 1
I09;hsa-miR-607;Plate 1
I10;hsa-miR-133b;Plate 1
I11;hsa-miR-143;Plate 1
I12;hsa-miR-766;Plate 1
I13;hsa-miR-600;Plate 1
I14;hsa-miR-142-5p;Plate 1
I15;hsa-miR-202;Plate 1
I16;hsa-miR-19a;Plate 1
I17;hsa-miR-583;Plate 1
I18;hsa-miR-448;Plate 1
I19;hsa-miR-130b;Plate 1
I20;hsa-miR-128;Plate 1
I21;hsa-miR-454;Plate 1
I22;hsa-miR-524-5p;Plate 1
I23;hsa-miR-182;Plate 1
I24;hsa-miR-495;Plate 1
J01;hsa-miR-335;Plate 1
J02;hsa-miR-135b;Plate 1
J03;hsa-miR-34c-5p;Plate 1
J04;hsa-miR-1;Plate 1
J05;hsa-miR-662;Plate 1
J06;hsa-miR-27a;Plate 1
J07;hsa-miR-320a;Plate 1
J08;hsa-miR-942;Plate 1
J09;hsa-miR-591;Plate 1
J10;hsa-miR-16;Plate 1
J11;hsa-miR-100;Plate 1
J12;hsa-miR-626;Plate 1
J13;hsa-miR-758;Plate 1
J14;hsa-let-7e;Plate 1
J15;hsa-miR-493;Plate 1
J16;hsa-miR-374a;Plate 1
J17;hsa-miR-129-5p;Plate 1
J18;hsa-miR-589;Plate 1
J19;hsa-miR-518d-3p;Plate 1
J20;hsa-miR-571;Plate 1
J21;hsa-miR-623;Plate 1
J22;hsa-miR-338-3p;Plate 1
J23;hsa-miR-138;Plate 1
J24;hsa-miR-27b;Plate 1
K01;hsa-miR-637;Plate 1
K02;hsa-miR-383;Plate 1
K03;hsa-miR-195;Plate 1
K04;hsa-miR-513a-5p;Plate 1
K05;hsa-miR-548a-5p;Plate 1
K06;hsa-miR-519e*;Plate 1
K07;hsa-miR-362-3p;Plate 1
K08;hsa-miR-342-3p;Plate 1
K09;hsa-miR-587;Plate 1
K10;hsa-miR-331-3p;Plate 1
K11;hsa-miR-877;Plate 1
K12;hsa-miR-329;Plate 1
K13;hsa-miR-140-3p;Plate 1
K14;hsa-miR-590-5p;Plate 1
K15;hsa-miR-548c-5p;Plate 1
K16;hsa-miR-135a;Plate 1
K17;hsa-miR-501-3p;Plate 1
K18;hsa-miR-219-5p;Plate 1
K19;hsa-miR-378;Plate 1
K20;hsa-miR-139-5p;Plate 1
K21;hsa-miR-935;Plate 1
K22;hsa-miR-515-5p;Plate 1
K23;hsa-miR-331-5p;Plate 1
K24;hsa-miR-496;Plate 1
L01;hsa-miR-885-5p;Plate 1
L02;hsa-miR-629;Plate 1
L03;hsa-miR-502-3p;Plate 1
L04;hsa-miR-99a;Plate 1
L05;hsa-miR-767-5p;Plate 1
L06;hsa-miR-380;Plate 1
L07;hsa-miR-197;Plate 1
L08;hsa-miR-578;Plate 1
L09;hsa-let-7b;Plate 1
L10;hsa-miR-518c;Plate 1
L11;hsa-miR-181b;Plate 1
L12;hsa-miR-937;Plate 1
L13;hsa-miR-432;Plate 1
L14;hsa-miR-7;Plate 1
L15;hsa-miR-302b;Plate 1
L16;hsa-miR-489;Plate 1
L17;hsa-miR-20a;Plate 1
L18;hsa-miR-337-3p;Plate 1
L19;hsa-miR-567;Plate 1
L20;hsa-miR-218;Plate 1
L21;hsa-miR-101;Plate 1
L22;hsa-miR-205;Plate 1
L23;hsa-miR-613;Plate 1
L24;hsa-miR-98;Plate 1
M01;hsa-miR-369-3p;Plate 1
M02;hsa-miR-190b;Plate 1
M03;hsa-miR-345;Plate 1
M04;hsa-miR-219-2-3p;Plate 1
M05;hsa-miR-21;Plate 1
M06;hsa-miR-554;Plate 1
M07;hsa-miR-361-3p;Plate 1
M08;hsa-miR-193a-5p;Plate 1
M09;hsa-miR-548d-5p;Plate 1
M10;hsa-miR-498;Plate 1
M11;hsa-miR-576-3p;Plate 1
M12;hsa-miR-518f*;Plate 1
M13;hsa-miR-208b;Plate 1
M14;hsa-miR-191;Plate 1
M15;hsa-miR-532-3p;Plate 1
M16;hsa-miR-544;Plate 1
M17;hsa-miR-188-3p;Plate 1
M18;hsa-miR-431;Plate 1
M19;hsa-miR-543;Plate 1
M20;hsa-miR-30d;Plate 1
M21;hsa-miR-129-3p;Plate 1
