miRNA #;miRNA ID
221;hsa-miR-324-5p
222;hsa-miR-325
223;hsa-miR-326
224;hsa-miR-328-3p
225;hsa-miR-330-3p
226;hsa-miR-331-5p
227;hsa-miR-335-5p
228;hsa-miR-335-3p
229;hsa-miR-337-5p
230;hsa-miR-338-3p
231;hsa-miR-338-5p
232;hsa-miR-339-3p
233;hsa-miR-33a-5p
234;hsa-miR-33a-3p
235;hsa-miR-33b-5p
236;hsa-miR-340-5p
237;hsa-miR-340-3p
238;hsa-miR-342-3p
239;hsa-miR-342-5p
240;hsa-miR-345-5p
241;hsa-miR-346
242;hsa-miR-34a-5p
243;hsa-miR-34a-3p
244;hsa-miR-34b-3p
245;hsa-miR-34b-5p
246;hsa-miR-34c-3p
247;hsa-miR-34c-5p
248;hsa-miR-361-5p
249;hsa-miR-363-3p
250;hsa-miR-363-5p
251;hsa-miR-365a-3p hsa-miR-365b-3p
252;hsa-miR-370-3p
253;hsa-miR-372-3p
254;hsa-miR-373-3p
255;hsa-miR-373-5p
256;hsa-miR-374a-5p
257;hsa-miR-374b-5p hsa-miR-374c-5p
258;hsa-miR-375
259;hsa-miR-376a-3p
260;hsa-miR-376b-3p
261;hsa-miR-376c-3p
262;hsa-miR-377-3p
263;hsa-miR-377-5p
264;hsa-miR-378a-3p
265;hsa-miR-378a-5p
266;hsa-miR-379-5p
267;hsa-miR-381-3p
268;hsa-miR-382-5p
269;hsa-miR-383-5p
270;hsa-miR-409-3p
271;hsa-miR-410-3p
272;hsa-miR-411-5p
273;hsa-miR-421
274;hsa-miR-423-3p
275;hsa-miR-423-5p
276;hsa-miR-424-5p
277;hsa-miR-424-3p
278;hsa-miR-425-5p
279;hsa-miR-425-3p
280;hsa-miR-4258
281;hsa-miR-429
282;hsa-miR-431-5p
283;hsa-miR-432-5p
284;hsa-miR-433-3p
285;hsa-miR-449a
286;hsa-miR-451a
287;hsa-miR-454-3p
288;hsa-miR-455-5p
289;hsa-miR-483-5p
290;hsa-miR-484
291;hsa-miR-485-5p
292;hsa-miR-486-3p
293;hsa-miR-486-5p
294;hsa-miR-488-3p
295;hsa-miR-489-3p
296;hsa-miR-490-3p
297;hsa-miR-491-5p
298;hsa-miR-493-3p
299;hsa-miR-495-3p
300;hsa-miR-497-5p
301;hsa-miR-498
302;hsa-miR-499a-3p
303;hsa-miR-499a-5p
304;hsa-miR-500a-5p
305;hsa-miR-504-5p
306;hsa-miR-505-3p
307;hsa-miR-506-3p
308;hsa-miR-508-5p
309;hsa-miR-509-3p
310;hsa-miR-511-5p
311;hsa-miR-512-5p
312;hsa-miR-513a-5p
313;hsa-miR-514a-3p
314;hsa-miR-517a-3p hsa-miR-517b-3p
315;hsa-miR-518b
316;hsa-miR-519d-3p
317;hsa-miR-520c-3p hsa-miR-520f-3p
318;hsa-miR-520g-3p
319;hsa-miR-522-3p
320;hsa-miR-524-5p
321;hsa-miR-532-5p
322;hsa-miR-539-5p
323;hsa-miR-542-3p
324;hsa-miR-542-5p
325;hsa-miR-549a
326;hsa-miR-551b-3p
327;hsa-miR-567
328;hsa-miR-570-3p
329;hsa-miR-574-3p
330;hsa-miR-575
331;hsa-miR-580-3p
332;hsa-miR-581
333;hsa-miR-583
334;hsa-miR-588
335;hsa-miR-589-3p
336;hsa-miR-600
337;hsa-miR-605-5p
338;hsa-miR-606
339;hsa-miR-608
340;hsa-miR-622
341;hsa-miR-626
342;hsa-miR-639
343;hsa-miR-643
344;hsa-miR-649
345;hsa-miR-652-3p
346;hsa-miR-661
347;hsa-miR-7-5p
348;hsa-miR-708-5p
349;hsa-miR-708-3p
350;hsa-miR-720
351;hsa-miR-744-5p
352;hsa-miR-765
353;hsa-miR-770-5p
354;hsa-miR-802
355;hsa-miR-885-5p
356;hsa-miR-888-5p
357;hsa-miR-9-5p
358;hsa-miR-9-3p
