"","x"
"324","IGSF3"
"325","INSIG1"
"326","ITGA2"
"327","JAK1"
"328","JOSD1"
"329","KIF23"
"330","KLF4"
"331","LATS2"
"332","LCOR"
"333","LRIF1"
"334","LUC7L"
"335","MAP3K7"
"336","MCM7"
"337","METRNL"
"338","MRPL12"
"339","MRPL51"
"340","MT1E"
"341","MTFR1L"
"342","MTMR3"
"343","MYB"
"344","N4BP1"
"345","NACC1"
"346","NFIA"
"347","NINJ1"
"348","NOTCH2"
"349","NRBP1"
"350","NUCKS1"
"351","NUP50"
"352","OGT"
"353","OTUD7B"
"354","PAFAH1B2"
"355","PAG1"
"356","PAWR"
"357","PCSK5"
"358","PDZD8"
"359","PEA15"
"360","PER1"
"361","PHGDH"
"362","PHKA1"
"363","PLEKHA1"
"364","PLEKHF2"
"365","PNISR"
"366","POLD3"
"367","POLDIP2"
"368","PPIL1"
"369","PPP6C"
"370","PPP6R3"
"371","PRKCE"
"372","PTEN"
"373","PURA"
"374","PURB"
"375","RAB10"
"376","RACGAP1"
"377","RAD51"
"378","RAMAC"
"379","RBBP6"
"380","RCC1"
"381","RPL27"
"382","RRAGC"
"383","RSL1D1"
"384","SALL1"
"385","SAT1"
"386","SEMA6A"
"387","SETD1B"
"388","SLC2A3"
"389","SLC30A7"
"390","SMARCA5"
"391","SNCG"
"392","SNTB2"
"393","SNX8"
"394","SOWAHC"
"395","SREK1"
"396","SRSF1"
"397","STK38"
"398","SUN2"
"399","SYNRG"
"400","TARBP2"
"401","TCF19"
"402","TGFBR3"
"403","TK1"
"404","TM4SF1"
"405","TM7SF3"
"406","TM9SF1"
"407","TMEM170A"
"408","TMEM87A"
"409","TNRC6B"
"410","TRIM35"
"411","TSC22D2"
"412","TTLL5"
"413","TUBA1B"
"414","TUBB"
"415","TULP4"
"416","UBR3"
"417","USP42"
"418","VCAN"
"419","VPS4A"
"420","WDR6"
"421","YIPF6"
"422","YRDC"
"423","YTHDC1"
"424","YWHAH"
"425","ZADH2"
"426","ZBTB10"
"427","ZBTB38"
"428","ZDHHC16"
"429","ZDHHC4"
"430","ZNF284"
"431","ZNF623"
"432","ZNF680"
"433","ABCC1"
"434","APOE"
"435","ARHGAP12"
"436","ATF6"
"437","CAV1"
"438","CCN2"
"439","CD44"
"440","CLTC"
"441","DDX3X"
"442","DNAJA4"
"443","ERBB2"
"444","ERBB3"
"445","ERN1"
"446","FZD4"
"447","GPR78"
"448","GSK3B"
"449","HSPA5"
"450","JAG1"
"451","JUNB"
"452","KRAS"
"453","LDLR"
"454","LIF"
"455","NECTIN1"
"456","NFKB1"
"457","PDE4D"
"458","RND1"
"459","SMAD4"
"460","TGFBR1"
"461","UNG"
"462","WNK1"
"463","WNT2"
"464","ZDHHC9"
"465","ABL2"
"466","BTG2"
"467","CHD9"
"468","CLIC4"
"469","CXCR4"
"470","FAM162A"
"471","HNRNPF"
"472","HRAS"
"473","IGF1R"
"474","JUN"
