"","ID","Normal.1","Normal.2","Normal.3","Cancer 1.1","Cancer 1.2","Cancer 1.3","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","hsa-let-7a*",1.22921348314607,1.12387369104635,1.10946627190526,0.87465112461008,0.951132829853398,0.960881294964029,0.225296065556723,1.0415364492542,5.45763922445806,0.0016956207202152,0.00469590297904157,-1.83703102310348
"2","hsa-let-7b*",1.19124928971507,1.18268384412259,1.22188474798884,1.51488227454465,1.54091726618705,1.53932584269663,-0.333102500533942,1.3651572108758,-17.301112942412,2.94379704760956e-06,4.87417390845135e-05,5.36951646421801
"3","hsa-let-7d",1.17059084851177,1.18435251798561,1.19101123595506,0.93879373325757,0.944626710410499,0.964948284353965,0.232528624810136,1.06572055507908,13.579241520537,1.18231223439126e-05,0.000117027016533728,3.81644959218942
"4","hsa-let-7f-2*",1.31630386494891,1.3273381294964,1.34337078651685,1.14416754606705,1.14227414579499,1.16647512723691,0.17803198728774,1.23998826667685,10.1277792208236,6.20531709934103e-05,0.000370585697161763,1.93648071503134
"5","hsa-miR-103a",1.41187050359712,1.41168539325843,1.2732364639987,0.988637272945507,0.999425381710721,1.08573967125722,0.340996678313601,1.19509911446128,7.07365213594168,0.000442097564911008,0.00164098019753426,-0.305502960094475
"6","hsa-miR-103b",1.4587222988879,1.44114587501,1.4833360696109,1.33807196801422,1.35971223021583,1.35280898876405,0.110870352171571,1.40563290508381,5.87951131209244,0.00116242510641442,0.00357730909613659,-1.40785927667453
"7","hsa-miR-105",NA,1.53176818256444,NA,1.04811151079137,1.06022471910112,0.958681711177856,0.509428868874324,1.1496965309087,9.61563322129603,0.000771012974980461,0.00256764134035549,0.0339307030638265
"8","hsa-miR-105*",1.27270544930783,1.31177146609752,1.41403820524211,1.06429856115108,1.06561797752809,0.961522850880753,0.302358577029182,1.18165908503457,6.37819703872325,0.000763073921836242,0.0025571348665923,-0.928374121670577
"9","hsa-miR-106a*",1.30725660811033,1.42025766326077,1.43075539568345,1.0885393258427,0.989528370809319,0.967032087701048,0.371056627567163,1.2005615752346,7.83763714559034,0.000254772718687682,0.00108076204871878,0.324111717251304
"10","hsa-miR-107",1.07864061730422,1.05345282867888,1.07638607029791,1.3447191011236,1.3511690647482,1.33051976899156,-0.272642806194113,1.20581457519073,-15.8673029670936,4.8446222190465e-06,5.88511494563716e-05,4.81643721113487
"11","hsa-miR-10b*",1.61139385979314,1.65437583296313,1.59982014388489,1.10651685393258,0.999675298319669,0.990637753060735,0.589586643776056,1.32706995699236,16.0003287012566,4.61754630870839e-06,5.67374368276928e-05,4.86991826069544
"12","hsa-miR-1180",1.2481530126416,1.34562416703687,1.3660071942446,1.08224719101124,0.982222583001867,0.969032567816276,0.308760677364567,1.16554778595874,6.90617597001869,0.000502144808474409,0.00183205733876841,-0.450918478965337
"13","hsa-miR-1182",1.17059084851177,1.18435251798561,1.19101123595506,0.901453040019482,0.894214611506762,0.912822196683632,0.279154918080855,1.04240740844372,16.9770308013228,3.28288607491578e-06,4.87417390845135e-05,5.24885238531926
"14","hsa-miR-1184",1.45393258426966,1.31910057634548,1.30391293910539,1.03349203743228,1.12127943136384,1.13444244604317,0.262577394960417,1.22769333575997,5.29362264014917,0.00197493859331771,0.00526486123754771,-2.01006857511592
"15","hsa-miR-1193",1.25707865168539,1.26663669064748,1.25277654375833,1.00681333114431,0.984236216692006,0.993993018913873,0.263816439780338,1.1269224088069,16.1662641038829,4.35148046367716e-06,5.67284465325718e-05,4.93598265652605
"16","hsa-miR-1197",1.39315859617948,1.42670863309353,1.42741573033708,0.989122493708905,0.980635352484596,1.00599244787391,0.423844221847555,1.20383887561292,22.6323148525014,6.21662577667156e-07,2.37431495517235e-05,7.0616791062841
"17","hsa-miR-1205",1.12261217236784,1.13848920863309,1.14112359550562,0.974105040993587,0.961430743378411,0.986701691019537,0.159995833705004,1.05407707531635,9.48049588070571,8.96478832318123e-05,0.00049145429320414,1.51698481772813
"18","hsa-miR-1207-5p",1.25659550288173,1.25670160838601,1.28837629289115,1.03553976010662,1.06070143884892,1.06157303370787,0.214619723831829,1.15991460613705,11.4443594478094,3.12290928594945e-05,0.000216948231922628,2.71760781536075
"19","hsa-miR-122",1.5089928057554,1.52988764044944,1.35603539248316,0.962230935424502,0.992858315547529,1.07152376721457,0.456100940167129,1.23692147614577,8.33257273637213,0.000182562133186751,0.000823455360238974,0.704903209634024
"20","hsa-miR-122*",1.32464028776978,1.32674157303371,1.19855507752253,1.01384332239738,1.04662616975866,1.13194135939582,0.219175362258053,1.17372463164631,4.57458932891195,0.00401490487601683,0.00928989894472291,-2.81215527971349
"21","hsa-miR-1224-3p",1.19520604170087,1.2985339848956,1.3169964028777,1.1285393258427,1.02565143274616,1.00904217012083,0.215834500254827,1.16232822636398,4.6466890459606,0.0037274066569493,0.00883502819574014,-2.72842482838878
"22","hsa-miR-1224-5p",1.22567747667703,1.24190647482014,1.2485393258427,0.976946180696485,0.966231895654957,0.990395665736332,0.260849845084033,1.10828283657127,15.3046513344694,5.96126846012417e-06,7.00285272953048e-05,4.58495258279388
"23","hsa-miR-1228*",1.24611283873834,1.26708633093525,1.26786516853933,0.960711096679925,0.948627670640954,0.972336233787555,0.299796445701494,1.11045655655356,17.5357396441447,2.72371158675269e-06,4.87417390845135e-05,5.45538138448201
"24","hsa-miR-1233",1.36832839881572,1.39796420948941,1.51221679253665,0.998651079136691,1.00449438202247,0.902670671320724,0.457564422787297,1.19738758888694,9.58060693938369,8.45667682476672e-05,0.000468403498739669,1.58355104167026
