"","Normal.1","Normal.2","Normal.3","Cancer 1.1","Cancer 1.2","Cancer 1.3","ID","plate"
"1",1.13460684140382,1.14478417266187,1.17078651685393,0.982222583001867,0.967832279747139,0.998604498440322,"hsa-miR-346","Plate 1"
"2",1.5089928057554,1.52988764044944,1.35603539248316,1.26870448907738,1.31300279100312,1.40426477121279,"hsa-miR-196b","Plate 1"
"3",1.38696629213483,1.26511892199042,1.25070016804033,1.12502052208176,1.22567747667703,1.24010791366906,"hsa-miR-214","Plate 1"
"4",1.15877912168195,1.16027846683204,1.20013134132326,1.1519324744558,1.17086330935252,1.1676404494382,"hsa-miR-223","Plate 1"
"5",1.04425062014884,1.07125266787063,1.16748111950244,1.10161870503597,1.10921348314607,0.996834158616771,"hsa-miR-643","Plate 1"
"6",1.31382367427352,1.43625055530875,1.47032374100719,1.39505617977528,1.27770111210326,1.25830199247819,"hsa-miR-608","Plate 1"
"7",1.16703687250111,1.18570143884892,1.18561797752809,0.964769867684065,0.953828918940546,0.978903299950747,"hsa-miR-376b","Plate 1"
"8",1.34982014388489,1.34651685393258,1.22696647455151,1.11066655997439,1.15005746182893,1.23500666370502,"hsa-miR-944","Plate 1"
"9",1.2552808988764,1.1514733338745,1.14467472193326,1.12296831390576,1.22301199466904,1.23201438848921,"hsa-miR-211","Plate 1"
"10",1.36334118029061,1.35912619028567,1.37456903628304,1.27721012883163,1.30665467625899,1.29662921348315,"hsa-miR-612","Plate 1"
"11",1.27270544930783,1.31177146609752,1.41403820524211,1.25719424460432,1.25842696629213,1.13077360175339,"hsa-miR-194","Plate 1"
"12",1.30725660811033,1.42025766326077,1.43075539568345,1.15505617977528,1.04188651676272,1.03464831559574,"hsa-miR-411","Plate 1"
"13",1.39315859617948,1.42670863309353,1.42741573033708,1.07354493059502,1.06385532527807,1.08890165818421,"hsa-miR-548c-3p","Plate 1"
"14",1.32464028776978,1.32674157303371,1.19855507752253,1.0114427462591,1.04087998686587,1.12705464238116,"hsa-miR-299-3p","Plate 1"
"15",1.35640449438202,1.23305463105772,1.22749459870369,1.14800525365293,1.26299422478898,1.26618705035971,"hsa-miR-523","Plate 1"
"16",1.14822631707119,1.13787308954149,1.17714660975209,1.19502443358507,1.23291366906475,1.22696629213483,"hsa-miR-382","Plate 1"
"17",1.36832839881572,1.39796420948941,1.51221679253665,1.48830935251799,1.4961797752809,1.33249452065914,"hsa-miR-515-3p","Plate 1"
"18",1.07864061730422,1.16970235450911,1.19244604316547,1.08,0.979381443298969,0.961030647355365,"hsa-miR-375","Plate 1"
"19",1.35450910706353,1.36420863309353,1.36224719101124,1.08490948940661,1.08426022245339,1.10121490724019,"hsa-miR-196a","Plate 1"
"20",1.14478417266187,1.15505617977528,1.04675704196769,NA,1.03267115416188,1.11683696135051,"hsa-miR-658","Plate 1"
"21",1.33932584269663,1.2151960386395,1.21149075778187,1.08684945000821,1.18391825855175,1.19469424460432,"hsa-miR-106b","Plate 1"
"22",1.33574153746246,NA,1.36841241175505,1.38249666814749,1.39343525179856,1.39370786516854,"hsa-miR-210","Plate 1"
"23",1.08105945426902,1.11845345591857,1.21279431363838,1.08138489208633,1.08719101123596,0.978975566198555,"hsa-miR-511","Plate 1"
"24",1.19684780824167,1.3025322079076,1.31969424460432,1.19191011235955,1.08288010390454,1.07305753380811,"hsa-miR-514","Plate 1"
"25",1.52199022656597,1.54361510791367,1.57662921348315,1.32762399545418,1.39273425622149,1.38195698571663,"hsa-miR-659","Plate 1"
"26",1.09892086330935,1.09483146067416,1.00332819222339,0.979034968392414,1.0121490724019,1.09595735228787,"hsa-miR-597","Plate 1"
"27",1.47460674157303,1.31991233054631,1.29951188285188,1.14636348711213,1.24478009773434,1.25944244604317,"hsa-miR-130a","Plate 1"
"28",1.13158535595422,1.11706809634312,1.15703496962732,1.14438027543314,1.15647482014388,1.15955056179775,"hsa-miR-652","Plate 1"
"29",NA,1.53176818256444,NA,1.5535071942446,1.50741573033708,1.37024109099765,"hsa-miR-183","Plate 1"
"30",NA,1.63482896490449,1.70278776978417,1.4952808988764,1.37145872229889,1.37953108746099,"hsa-miR-192","Plate 1"
"31",1.24611283873834,1.26708633093525,1.26786516853933,1.16446140108775,1.16627990717772,1.18699720899688,"hsa-miR-30c","Plate 1"
"32",1.24010791366906,1.23775280898876,1.1222501826447,0.947027286548772,0.973157117057954,1.05242114615726,"hsa-miR-421","Plate 1"
"33",1.21168539325843,1.10357983602565,1.08826118268384,0.994089640453128,1.08307418924922,1.08678057553957,"hsa-miR-512-5p","Plate 1"
"34",1.19409042941797,1.18108346003041,1.21285503201445,1.08262994224789,1.10206834532374,1.10157303370787,"hsa-miR-29c","Plate 1"
"35",1.06785628550852,1.10655064849778,1.19991115059973,1.13938848920863,1.14606741573034,1.03417485185486,"hsa-miR-410","Plate 1"
"36",1.2481530126416,1.34562416703687,1.3660071942446,1.21887640449438,1.101956327624,1.0878610866608,"hsa-miR-938","Plate 1"
"37",1.17059084851177,1.18435251798561,1.19101123595506,0.977352057796899,0.968232375770185,0.994089640453128,"hsa-miR-641","Plate 1"
"38",1.13174460431655,1.13123595505618,1.02768081824823,0.888613267184124,0.917337054670826,0.988005330964016,"hsa-let-7i","Plate 1"
"39",1.45393258426966,1.31910057634548,1.30391293910539,1.22804137251683,1.33496223900489,1.3466726618705,"hsa-miR-628-3p","Plate 1"
"40",1.06420975728549,1.04865167640234,1.08028238384502,1.11861394935584,1.13489208633094,1.13393258426966,"hsa-miR-188-5p","Plate 1"
