"","x"
"324","TMTC3"
"325","TNIP3"
"326","TNKS"
"327","TPSG1"
"328","TRIM36"
"329","TRIM37"
"330","TSEN34"
"331","TSPAN6"
"332","TSPYL1"
"333","TUBAL3"
"334","TWF1"
"335","TWSG1"
"336","UBE2W"
"337","UGT2B17"
"338","USP6NL"
"339","VSIG1"
"340","WASL"
"341","XIAP"
"342","YES1"
"343","ZCCHC14"
"344","ZFP36L2"
"345","ZMYND8"
"346","ZNF217"
"347","ZNF236"
"348","ZNF24"
"349","ZNF529"
"350","ZNF608"
"351","ZNF701"
"352","AKT2"
"353","ARHGDIA"
"354","TNPO2"
"355","BBC3"
"356","CCND1"
"357","ELAVL1"
"358","GIGYF1"
"359","HGS"
"360","NFIC"
"361","PIN1"
"362","RNF44"
"363","SCRIB"
"364","VPS51"
"365","CSNK2A1"
"366","ACACA"
"367","ARL8B"
"368","CYP7A1"
"369","FOXQ1"
"370","ARID1A"
"371","DST"
"372","EAF1"
"373","LNPEP"
"374","MTF2"
"375","NBEA"
"376","PANK3"
"377","PCGF3"
"378","PJA2"
"379","SKIL"
"380","SRSF2"
"381","TMED10"
"382","YWHAG"
"383","CNBP"
"384","DNAJC24"
"385","ERN1"
"386","HMGA2"
"387","LRIG2"
"388","PRNP"
"389","RBM38"
"390","RIF1"
"391","SMARCD1"
"392","SPTY2D1"
"393","AZIN1"
"394","MYO5A"
"395","SPSB1"
"396","EIF6"
"397","ENPP4"
"398","FNDC3A"
"399","TNFAIP3"
"400","TSPAN1"
"401","ZBTB34"
"402","ARL6IP1"
"403","ATCAY"
"404","BTG2"
"405","CNBP"
"406","FBXW7"
"407","HIF1AN"
"408","IGF1R"
"409","LHFPL2"
"410","TAOK1"
"411","TXNIP"
"412","ACTB"
"413","ADAMTS5"
"414","AGAP1"
"415","ALYREF"
"416","CDKN1B"
"417","CELF1"
"418","HIPK3"
"419","HNRNPA1"
"420","INHBA"
"421","LRRC58"
"422","MFAP3"
"423","MYBL1"
"424","NR2F2"
"425","RHOB"
"426","RMND5A"
"427","SFT2D2"
"428","SKIL"
"429","SLC30A1"
"430","TGIF2"
"431","TM9SF3"
"432","TNFSF15"
"433","TOMM20"
"434","TOR1AIP2"
"435","TRIB2"
"436","TSPAN3"
"437","UGCG"
"438","CDKN1A"
"439","MPRIP"
"440","COL10A1"
"441","COL3A1"
"442","COL4A1"
"443","COL4A2"
"444","COL5A2"
"445","DAZAP2"
"446","FBN1"
"447","INSIG1"
"448","LOX"
"449","MCL1"
"450","MMP2"
"451","MTRNR2L1"
"452","PDGFRB"
"453","PLAG1"
"454","SERPINH1"
"455","SPARC"
"456","ZBTB34"
"457","MGMT"
"458","CALR"
"459","CDC42SE1"
"460","CHAC1"
"461","FOSL1"
"462","HNF4A"
"463","MGAT5"
"464","MIDN"
"465","NFIX"
"466","PFKFB3"
"467","PKM"
"468","PTPN14"
"469","SLC7A5"
"470","SOCS7"
"471","TNRC6B"
"472","TPD52L2"
"473","WBP2"
"474","BTG2"
"475","C3orf38"
"476","DDOST"
"477","ENPP5"
"478","SCD"
"479","TM9SF3"
"480","UBE2D3"
"481","WBP11"
"482","ZNF367"
"483","ZNF711"
"484","ADGRV1"
"485","ANKRD52"
"486","C19orf54"
"487","FOSL1"
"488","GAN"
"489","GLUL"
"490","H2BC18"
"491","H2BC4"
"492","HNRNPUL1"
"493","KDM2A"
"494","KDM5B"
"495","KMT2D"
"496","MAP1S"
