ID,Normal.2,Cancer 1.1,Cancer 1.2,Cancer 1.3,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-let-7a*,1.24505395683453,0.864924100982223,0.856605585340482,0.877113774421277,0.378839469919872,0.960924354394628,4.97524074259017,3.04254612433567e-06,3.28093118150011e-05,4.02953875501233
hsa-let-7g,1.52607913669065,1.22331358064778,1.19908778106746,1.23419799704482,0.307212683770628,1.29566962386268,4.03238128587512,0.000114241946288619,0.000841528702942929,0.561793520107803
hsa-miR-100*,1.11706809634312,1.41807584961418,1.36131179478854,1.51798561151079,-0.315389655628049,1.35361033806416,-4.07900692843613,9.6484762895668e-05,0.000742081338153447,0.722012023104591
hsa-miR-103a,1.28919717616155,1.11106115107914,0.988310739508077,0.977834680323278,0.263461652524719,1.09160093676801,3.41411091812283,0.000955559886349651,0.00458493413358594,-1.43552739919583
hsa-miR-105,1.67805755395683,0.946099521065021,0.943826518364407,0.969463142341159,0.724927826699972,1.13436168393186,9.51809313446938,2.48639065802211e-15,4.33460771381854e-13,24.467523752981
hsa-miR-105*,1.27870688965352,0.971515350517157,1.06609712230216,0.961522850880753,0.278995115086828,1.0694605533384,3.63465430361799,0.000459563672750744,0.0025844279661144,-0.75120742181559
hsa-miR-106a*,1.31218190773272,1.08902877697842,0.989528370809319,0.967032087701048,0.296985495903126,1.08944278580538,3.86058471082889,0.00021072097327534,0.00140714426993656,-0.0173627678114912
hsa-miR-106b,1.34622302158273,1.07476256189626,1.06625590141634,1.090543424725,0.269035725570199,1.14444622740508,3.53280094281847,0.000646779993862666,0.00333266932798201,-1.07127930693373
hsa-miR-10b*,1.51148632194172,0.985036408738097,1.01091774749631,1.11330935251799,0.475065152357587,1.15518745767353,6.16961433039629,1.84040631090333e-08,3.77463725726448e-07,8.97926237093709
hsa-miR-1182,1.18435251798561,0.901453040019482,0.894214611506762,0.912822196683632,0.281522568582319,0.973210591548872,3.69736397245787,0.000371228162155756,0.00223163596330414,-0.550775317189336
hsa-miR-1197,1.42670863309353,0.989122493708905,0.980635352484596,1.00599244787391,0.434791868404387,1.10061473179023,5.70919076362103,1.39440647322506e-07,2.1769390611842e-06,7.01085399946609
hsa-miR-1207-3p,1.26663669064748,0.943258381362124,0.937424981995679,0.957560334920374,0.32055545788809,1.02622009723141,4.2097957961172,5.97018707951586e-05,0.000469535013922826,1.17814637386784
hsa-miR-1207-5p,1.27485997240036,0.932623829719133,0.968231817435561,1.06205035971223,0.28722463677805,1.05944149481682,3.7313553301448,0.000330349184644372,0.00200898399498845,-0.4410761994674
hsa-miR-122,1.38160564980924,0.962230935424502,0.992858315547529,1.08453237410072,0.368398441451655,1.1053068187205,4.79084596264192,6.38656952245225e-06,6.2433193649393e-05,3.3161635293848
hsa-miR-1224-5p,1.24190647482014,0.976946180696485,0.966231895654957,0.990395665736332,0.264048560790885,1.04387005422698,3.46735883074941,0.000802930696154671,0.00399935956275136,-1.27329205132322
hsa-miR-1233,1.53147482014388,0.901453040019482,0.894214611506762,0.912822196683632,0.628644870740593,1.05999116708844,8.25627909070121,1.09206796747537e-12,5.71151546989618e-11,18.4963301009859
hsa-miR-124*,1.34622302158273,1.03417485185486,1.02504601104265,1.04293219504187,0.312172002269609,1.11209401988053,4.09997933275374,8.93909087519967e-05,0.000692614004108064,0.794492786699982
hsa-miR-1247,1.54361510791367,0.943258381362124,0.937424981995679,0.957560334920374,0.597533875154276,1.09546470154796,7.84730234273623,7.71452984625252e-12,3.10361469968467e-10,16.5798270768963
hsa-miR-1252,1.67805755395683,0.976946180696485,0.966231895654957,0.990395665736332,0.700199639927576,1.15290782401115,9.1946852409212,1.18663032530412e-14,1.55151915033513e-12,22.9333686961587
hsa-miR-1253,1.4936277295235,1.10466511962871,1.14143818748974,1.24595323741007,0.329608881347327,1.24642106851301,4.27249147151544,4.72809625874967e-05,0.000380429898973242,1.4002336488449
hsa-miR-1258,1.44492247747382,1.07625830199248,1.12543096371696,1.22751798561151,0.301853393700171,1.21853243219869,3.90716698497012,0.000178778345234369,0.00123842482857715,0.137910070910174
hsa-miR-125b-1*,1.11346723213571,0.68748973895912,0.755845323741007,0.685932299699651,0.40371144466912,0.810683648633873,5.28216138862732,8.58723023310681e-07,1.14430474086271e-05,5.2502052744432
hsa-miR-126*,1.30755395683453,0.833671564250345,0.825798191565976,0.847561976686915,0.471876712666787,0.953646422334442,6.19685029114158,1.62958161075915e-08,3.4786578874573e-07,9.09771450055093
hsa-miR-1260,0.928222773465632,1.35856181251026,1.49685251798561,1.33249452065914,-0.46774684358604,1.27903290615516,-6.02730703072544,3.46399683948474e-08,6.26744119083591e-07,8.36384599450292
hsa-miR-1265,0.824197807473794,1.08684945000821,1.19829136690647,1.07841545579998,-0.296987616764429,1.04693852004712,-3.85812424269015,0.000212551428919672,0.00140714426993656,-0.0255272175397163
hsa-miR-1266,0.847151535051716,1.39928057553957,1.25781313418297,1.24069776746419,-0.452112290677194,1.18623575305961,-5.82904905701139,8.28075372349965e-08,1.35338568668447e-06,7.51676743314355
hsa-miR-1269,1.38160564980924,1.06105465311675,1.0950582827122,1.20593525179856,0.260922920600068,1.18591345935919,3.37912591780108,0.00107028781434061,0.00504288762973096,-1.54106456618993
hsa-miR-1276,1.05505321277107,1.34255458873748,1.56519784172662,1.36658819709392,-0.369726996414942,1.33234846008227,-4.68408271359426,9.74509769187753e-06,9.18321818531882e-05,2.91043782553842
